Reference, Value, Footprint, Datasheet
"D1","LED","LED_THT:LED_D5.0mm","~"
"R1","220","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"C1","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"U2","HC06","dmcginnis427:HC06",""
"J1","PJ-102A","dmcginnis427:DC21Jack",""
"U1","Teensy-LC","TeensyFootprints:Teensy30_31_32_LC",""
"D2","LED","LED_THT:LED_D5.0mm","~"
"R2","220","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"D3","LED","LED_THT:LED_D5.0mm","~"
"R3","220","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
